meeting_key,driver_name,actual_mean_lap,pred_mean_lap,actual_rank,pred_rank
1141,Alexander ALBON,100.47138596491227,99.87370713450291,11.0,12.0
1141,Carlos SAINZ,99.73963157894737,99.00667859649121,5.0,5.0
1141,Charles LECLERC,99.65376923076923,98.93660743589741,4.0,4.0
1141,Esteban OCON,102.92617073170732,101.98542878048778,19.0,19.0
1141,Fernando ALONSO,99.57426315789473,98.9104043859649,3.0,3.0
1141,George RUSSELL,99.87652631578946,99.12358970760233,8.0,6.0
1141,Kevin MAGNUSSEN,100.96132142857142,99.9644144047619,14.0,13.0
1141,Lance STROLL,99.85233333333332,99.14205584795319,7.0,7.0
1141,Lando NORRIS,102.61347272727272,101.93745890909089,18.0,18.0
1141,Lewis HAMILTON,99.79061403508771,99.17928011695908,6.0,8.0
1141,Logan SARGEANT,100.68108928571428,99.9716076785714,13.0,14.0
1141,Max VERSTAPPEN,98.8960701754386,98.38003497076019,1.0,1.0
1141,Nico HULKENBERG,101.08948214285714,100.26474428571429,16.0,16.0
1141,Nyck DE VRIES,101.06505357142858,100.21911613095236,15.0,15.0
1141,Oscar PIASTRI,103.29646153846154,102.16282307692308,20.0,20.0
1141,Pierre GASLY,100.19070175438597,99.33960643274852,10.0,9.0
1141,Sergio PEREZ,99.10640350877192,98.57255935672511,2.0,2.0
1141,Valtteri BOTTAS,100.17121052631579,99.37170157894735,9.0,10.0
1141,Yuki TSUNODA,100.49043859649123,99.71155567251459,12.0,11.0
1141,ZHOU Guanyu,101.36876785714286,100.5314057142857,17.0,17.0
1210,Alexander ALBON,85.86438961038961,86.84857766233765,15.0,15.0
1210,Carlos SAINZ,84.56044871794872,85.43719880341881,8.0,8.0
1210,Charles LECLERC,84.6072987012987,85.45989991341992,9.0,9.0
1210,Esteban OCON,84.22219230769231,85.14269260683761,4.0,4.0
1210,Fernando ALONSO,83.98737662337663,84.7799542857143,3.0,3.0
1210,George RUSSELL,84.40547435897436,85.40652957264959,6.0,7.0
1210,Kevin MAGNUSSEN,87.95801428571428,88.89248657142858,20.0,20.0
1210,Lance STROLL,80.78924528301887,81.96178855345914,1.0,1.0
1210,Lando NORRIS,84.88848051948051,85.79672437229436,10.0,10.0
1210,Lewis HAMILTON,84.24844871794872,85.16769290598292,5.0,5.0
1210,Logan SARGEANT,86.91067105263159,87.76729776315788,19.0,19.0
1210,Max VERSTAPPEN,83.74789743589744,84.73586645299147,2.0,2.0
1210,Nico HULKENBERG,86.5911052631579,87.53804280701756,17.0,17.0
1210,Nyck DE VRIES,85.57980519480519,86.47583900432903,13.0,13.0
1210,Oscar PIASTRI,85.01837662337662,86.06977679653681,11.0,11.0
1210,Pierre GASLY,84.54747435897436,85.37380700854702,7.0,6.0
1210,Sergio PEREZ,86.59663157894737,87.6146714912281,18.0,18.0
1210,Valtteri BOTTAS,85.211,86.09314666666668,12.0,12.0
1210,Yuki TSUNODA,86.05084210526316,86.96102092105264,16.0,16.0
1210,ZHOU Guanyu,85.76825974025974,86.77957606060608,14.0,14.0
1214,Alexander ALBON,98.75296153846155,99.72859596153847,10.0,13.0
1214,Carlos SAINZ,98.7831923076923,99.48627602564102,12.0,8.0
1214,Charles LECLERC,98.76857692307694,99.6730625,11.0,12.0
1214,Esteban OCON,95.18633333333334,96.59968666666666,2.0,2.0
1214,Fernando ALONSO,98.73998076923077,99.58517076923077,9.0,10.0
1214,George RUSSELL,98.62453846153845,99.34787102564101,7.0,6.0
1214,Kevin MAGNUSSEN,94.71748387096775,95.58534494623657,1.0,1.0
1214,Lance STROLL,98.93635294117647,99.91667934640526,15.0,19.0
1214,Lando NORRIS,98.48190384615386,99.42543288461539,4.0,7.0
1214,Lewis HAMILTON,98.54553846153847,99.34728596153845,5.0,5.0
1214,Logan SARGEANT,98.86409615384615,99.88340019230769,13.0,18.0
1214,Max VERSTAPPEN,98.40873076923077,99.2381883974359,3.0,3.0
1214,Nico HULKENBERG,99.0280588235294,99.76018875816995,18.0,14.0
1214,Nyck DE VRIES,99.0465,99.82514147435899,19.0,16.0
1214,Oscar PIASTRI,98.55834615384614,99.29018846153846,6.0,4.0
1214,Pierre GASLY,101.21558695652175,101.87840166666665,20.0,20.0
1214,Sergio PEREZ,98.65632692307692,99.5184732051282,8.0,9.0
1214,Valtteri BOTTAS,98.90584615384616,99.66041455128205,14.0,11.0
1214,Yuki TSUNODA,99.0074423076923,99.82562833333333,17.0,17.0
1214,ZHOU Guanyu,98.98049999999999,99.82173230769232,16.0,15.0
1217,Alexander ALBON,120.27680555555555,113.22852018518522,10.0,10.0
1217,Carlos SAINZ,120.24055555555555,113.38590444444449,7.0,13.0
1217,Charles LECLERC,87.36080487804878,87.32041991869919,2.0,2.0
1217,Esteban OCON,120.32218055555556,113.31326995370374,12.0,12.0
1217,Fernando ALONSO,120.11823611111112,112.36533675925928,5.0,5.0
1217,George RUSSELL,120.84073611111113,113.79012333333337,20.0,16.0
1217,Kevin MAGNUSSEN,120.5475633802817,113.83604967136154,18.0,18.0
1217,Lance STROLL,120.3446388888889,113.82840439814817,13.0,17.0
1217,Lando NORRIS,120.250125,113.19144847222225,9.0,9.0
1217,Lewis HAMILTON,120.249,112.99086722222226,8.0,7.0
1217,Liam LAWSON,120.43070833333334,113.89973763888891,16.0,19.0
1217,Logan SARGEANT,93.05214285714285,92.27600500000001,3.0,3.0
1217,Max VERSTAPPEN,120.06658333333333,111.90504680555561,4.0,4.0
1217,Nico HULKENBERG,120.35522222222221,113.5392891203704,14.0,15.0
1217,Oscar PIASTRI,120.29902777777778,113.17597282407411,11.0,8.0
1217,Pierre GASLY,120.62425352112676,112.97555530516433,19.0,6.0
1217,Sergio PEREZ,120.13694444444442,113.24730782407411,6.0,11.0
1217,Valtteri BOTTAS,120.44609722222224,114.10173365740745,17.0,20.0
1217,Yuki TSUNODA,120.41336111111112,113.42427199074075,15.0,14.0
1217,ZHOU Guanyu,84.2221935483871,83.91829634408604,1.0,1.0
1218,Alexander ALBON,87.57864705882353,86.36862143790852,7.0,9.0
1218,Carlos SAINZ,86.91390196078432,85.75244542483665,3.0,4.0
1218,Charles LECLERC,86.91696078431373,85.89697941176473,4.0,5.0
1218,Esteban OCON,89.10882051282051,87.6201632478633,19.0,19.0
1218,Fernando ALONSO,87.60207843137255,86.23985111111114,9.0,7.0
1218,George RUSSELL,87.04847058823529,85.68299490196081,5.0,2.0
1218,Kevin MAGNUSSEN,88.6807,87.32662620000005,18.0,18.0
1218,Lance STROLL,88.36077999999999,87.12473446666671,16.0,17.0
1218,Lando NORRIS,87.58641176470589,86.17173908496736,8.0,6.0
1218,Lewis HAMILTON,87.43409803921568,86.3225129411765,6.0,8.0
1218,Liam LAWSON,88.10477999999999,86.91729266666671,12.0,13.0
1218,Logan SARGEANT,88.12964,86.85725946666669,13.0,12.0
1218,Max VERSTAPPEN,86.6936862745098,85.57254575163402,1.0,1.0
1218,Nico HULKENBERG,88.46969999999999,87.1130752666667,17.0,16.0
1218,Oscar PIASTRI,88.06674,86.68749193333336,11.0,11.0
1218,Pierre GASLY,88.30192,86.93757900000004,15.0,14.0
1218,Sergio PEREZ,86.81423529411764,85.73603006535949,2.0,3.0
1218,Valtteri BOTTAS,87.96878000000001,86.55777766666671,10.0,10.0
1218,ZHOU Guanyu,88.2833,86.99442253333336,14.0,15.0
1221,Alexander ALBON,93.69385964912281,93.71170771929822,13.0,11.0
1221,Charles LECLERC,92.95647368421054,92.73052824561402,6.0,6.0
1221,Esteban OCON,93.36670175438597,93.4922681871345,8.0,9.0
1221,Fernando ALONSO,93.13319298245614,92.71235380116958,7.0,5.0
1221,George RUSSELL,92.87036842105263,92.55677707602338,5.0,4.0
1221,Kevin MAGNUSSEN,93.94228571428572,94.06429607142856,14.0,15.0
1221,Lance STROLL,93.52963157894737,93.7057876608187,10.0,10.0
1221,Lando NORRIS,92.37712280701754,91.91116877192984,2.0,1.0
1221,Liam LAWSON,94.40428571428572,94.60600440476189,17.0,17.0
1221,Logan SARGEANT,96.71447500000001,96.7332535,18.0,18.0
1221,Max VERSTAPPEN,92.39803571428571,92.31097428571427,3.0,3.0
1221,Nico HULKENBERG,94.18985714285714,94.11690124999998,16.0,16.0
1221,Oscar PIASTRI,92.35714035087719,91.91312994152047,1.0,2.0
1221,Pierre GASLY,93.54066666666667,93.46134976608185,11.0,8.0
1221,Sergio PEREZ,92.85591071428571,92.9835726785714,4.0,7.0
1221,Valtteri BOTTAS,93.44012280701754,93.80159479532163,9.0,13.0
1221,Yuki TSUNODA,94.07976785714285,93.98748738095235,15.0,14.0
1221,ZHOU Guanyu,93.60821052631579,93.722886374269,12.0,12.0
1237,Alexander ALBON,92.10428846153846,92.48146865384616,16.0,16.0
1237,Carlos SAINZ,92.09490384615385,92.42259442307692,15.0,15.0
1237,Charles LECLERC,96.09465,99.74564116666666,20.0,20.0
1237,Daniel RICCIARDO,91.1011,91.2471991904762,8.0,7.0
1237,Esteban OCON,91.12458571428571,91.34964438095238,10.0,12.0
1237,Fernando ALONSO,90.94082857142857,91.32104247619047,6.0,10.0
1237,George RUSSELL,90.7527,91.17377033333334,3.0,5.0
1237,Kevin MAGNUSSEN,91.13695714285716,91.36034371428572,12.0,13.0
1237,Lance STROLL,91.02861428571428,91.28390323809523,7.0,9.0
1237,Lando NORRIS,90.74654285714286,90.95886123809524,2.0,2.0
1237,Lewis HAMILTON,90.76168571428572,91.08977223809525,4.0,4.0
1237,Logan SARGEANT,94.13221739130435,94.70666130434782,19.0,19.0
1237,Max VERSTAPPEN,90.69117142857142,90.88196347619048,1.0,1.0
1237,Nico HULKENBERG,91.13102857142856,91.19500523809525,11.0,6.0
1237,Oscar PIASTRI,90.83604285714286,91.06748676190477,5.0,3.0
1237,Pierre GASLY,91.1213,91.26651914285715,9.0,8.0
1237,Sergio PEREZ,92.37554901960785,92.7013145751634,17.0,17.0
1237,Valtteri BOTTAS,91.26947142857144,91.34323838095239,13.0,11.0
1237,Yuki TSUNODA,91.44281428571429,91.540048,14.0,14.0
1237,ZHOU Guanyu,92.7806811594203,92.99805550724639,18.0,18.0
1240,Alexander ALBON,96.45536538461539,96.65339775641024,10.0,10.0
1240,Carlos SAINZ,96.05296153846153,96.46959846153847,5.0,5.0
1240,Charles LECLERC,97.85144,98.32427566666667,16.0,16.0
1240,Daniel RICCIARDO,97.20370588235295,97.56302816993463,14.0,14.0
1240,Esteban OCON,99.16498,99.36081473333334,18.0,17.0
1240,Fernando ALONSO,96.36817307692309,96.49916076923077,9.0,7.0
1240,George RUSSELL,96.122,96.54536858585858,6.0,9.0
1240,Kevin MAGNUSSEN,96.87786538461539,97.1587860897436,13.0,13.0
1240,Lance STROLL,96.23053846153847,96.49645371794871,8.0,6.0
1240,Lando NORRIS,95.28807692307691,95.72453929487179,3.0,3.0
1240,Lewis HAMILTON,95.14282692307691,95.38585275641026,1.0,1.0
1240,Logan SARGEANT,96.85459615384616,97.03285480769229,12.0,12.0
1240,Max VERSTAPPEN,95.17353846153847,95.48762698717948,2.0,2.0
1240,Nico HULKENBERG,96.21438461538462,96.53983967948717,7.0,8.0
1240,Oscar PIASTRI,95.38151923076923,95.94162115384617,4.0,4.0
1240,Sergio PEREZ,99.094,99.58819537414965,17.0,18.0
1240,Valtteri BOTTAS,97.83007843137254,98.29852836601306,15.0,15.0
1240,Yuki TSUNODA,96.66713461538461,96.89597243589743,11.0,11.0
1240,ZHOU Guanyu,100.03772000000001,100.33572493333331,19.0,19.0
1248,Charles LECLERC,85.78190140845071,85.47913591549295,2.0,2.0
1248,Fernando ALONSO,101.78013333333334,102.3706066666667,7.0,7.0
1248,Lance STROLL,86.87558571428572,86.503156,5.0,5.0
1248,Lando NORRIS,85.36471830985916,84.87396112676053,1.0,1.0
1248,Max VERSTAPPEN,86.1375352112676,85.6613609859155,3.0,3.0
1248,Pierre GASLY,86.78158571428571,86.46866133333334,4.0,4.0
1248,Sergio PEREZ,87.56354285714286,87.40366104761907,6.0,6.0
1257,Alexander ALBON,101.55607017543859,100.98844333333334,12.0,11.0
1257,Carlos SAINZ,103.48379999999999,102.9324845185185,20.0,19.0
1257,Charles LECLERC,101.04468421052633,100.49948578947368,4.0,2.0
1257,Esteban OCON,101.47370175438597,100.93746678362571,8.0,9.0
1257,Fernando ALONSO,101.75666666666667,101.03939099415203,17.0,12.0
1257,Gabriel BORTOLETO,101.87385964912282,101.1635502339181,19.0,17.0
1257,George RUSSELL,100.97014035087719,104.55962251461989,2.0,20.0
1257,Isack HADJAR,101.68964912280703,101.2153151461988,16.0,18.0
1257,Jack DOOHAN,101.62433333333334,101.1283360233918,14.0,15.0
1257,Kimi ANTONELLI,101.54005263157896,101.0968760233918,11.0,13.0
1257,Lance STROLL,101.84649122807018,101.14556444444442,18.0,16.0
1257,Lando NORRIS,100.98552631578947,100.56142561403506,3.0,3.0
1257,Lewis HAMILTON,101.19098245614035,100.57198754385963,5.0,4.0
1257,Liam LAWSON,101.56950877192982,100.90864701754383,13.0,7.0
1257,Max VERSTAPPEN,101.30217543859649,100.93716380116958,6.0,8.0
1257,Nico HULKENBERG,101.63859649122806,101.10086801169588,15.0,14.0
1257,Oliver BEARMAN,101.53342105263158,100.83584134502924,10.0,6.0
1257,Oscar PIASTRI,100.7009649122807,100.4747129239766,1.0,1.0
1257,Pierre GASLY,101.32831578947368,100.73083105263157,7.0,5.0
1257,Yuki TSUNODA,101.48919298245615,100.97770690058478,9.0,10.0
1266,Alexander ALBON,83.47442028985506,82.64342048309179,15.0,16.0
1266,Carlos SAINZ,83.40459420289855,82.59750314009662,14.0,14.0
1266,Charles LECLERC,82.27966666666666,81.61359033816424,4.0,4.0
1266,Esteban OCON,83.57769565217392,82.77402666666667,16.0,17.0
1266,Fernando ALONSO,82.58038571428571,81.6776017142857,5.0,5.0
1266,Franco COLAPINTO,83.63682352941177,82.86834612745099,19.0,18.0
1266,Gabriel BORTOLETO,82.6838,81.82507419047617,6.0,7.0
1266,George RUSSELL,82.05101428571429,81.22740457142856,3.0,3.0
1266,Isack HADJAR,83.0449275362319,82.28895183574879,11.0,11.0
1266,Kimi ANTONELLI,83.03302898550726,82.10200801932366,10.0,10.0
1266,Lance STROLL,82.71381428571428,81.90508666666668,7.0,9.0
1266,Lando NORRIS,81.73878571428571,80.8703085238095,1.0,1.0
1266,Lewis HAMILTON,83.06517391304348,82.51881937198068,12.0,13.0
1266,Liam LAWSON,82.73047142857142,81.82352571428571,8.0,6.0
1266,Max VERSTAPPEN,82.77532857142857,81.8708999047619,9.0,8.0
1266,Nico HULKENBERG,83.37604347826087,82.51259826086957,13.0,12.0
1266,Oliver BEARMAN,84.16879166666666,83.50009833333333,20.0,20.0
1266,Oscar PIASTRI,81.74704285714286,80.90391866666666,2.0,2.0
1266,Pierre GASLY,83.5943188405797,82.92220782608695,17.0,19.0
1266,Yuki TSUNODA,83.60373913043479,82.62869594202898,18.0,15.0
1274,Alexander ALBON,101.953,102.29714895238097,18.0,18.0
1274,Carlos SAINZ,98.07672000000001,98.52109126666666,7.0,7.0
1274,Charles LECLERC,97.99158,98.18891273333337,6.0,2.0
1274,Esteban OCON,98.59031999999999,98.91254540000001,11.0,10.0
1274,Fernando ALONSO,99.08388000000001,99.42303373333334,13.0,14.0
1274,Franco COLAPINTO,99.57830612244899,99.48250231292515,17.0,15.0
1274,Gabriel BORTOLETO,146.285,145.83424666666656,19.0,19.0
1274,George RUSSELL,97.84992,98.23336300000003,3.0,4.0
1274,Isack HADJAR,98.28147999999999,98.57178806666667,8.0,8.0
1274,Kimi ANTONELLI,97.88726000000001,98.24929833333336,4.0,5.0
1274,Lando NORRIS,97.79082,98.20618906666668,2.0,3.0
1274,Lewis HAMILTON,98.56639999999999,98.94531053333336,10.0,11.0
1274,Liam LAWSON,99.43291836734693,99.70496557823128,16.0,17.0
1274,Max VERSTAPPEN,97.44795918367346,97.6580936734694,1.0,1.0
1274,Nico HULKENBERG,98.39928,98.72189593333334,9.0,9.0
1274,Oliver BEARMAN,98.78934,99.17690466666664,12.0,12.0
1274,Oscar PIASTRI,97.9294,98.31635513333333,5.0,6.0
1274,Pierre GASLY,99.2086,99.36067393333333,15.0,13.0
1274,Yuki TSUNODA,99.11622,99.52950253333333,14.0,16.0
1275,Alexander ALBON,90.27445614035088,88.8633696491228,12.0,11.0
1275,Carlos SAINZ,89.49598245614034,87.882756374269,4.0,5.0
1275,Charles LECLERC,90.18319642857143,88.44260029761904,10.0,7.0
1275,Esteban OCON,90.76441071428572,89.37547178571427,16.0,16.0
1275,Fernando ALONSO,90.04659649122807,88.54213549707602,8.0,8.0
1275,Franco COLAPINTO,90.74919642857142,89.3444300595238,15.0,15.0
1275,Gabriel BORTOLETO,90.58764912280702,89.16986707602338,14.0,14.0
1275,George RUSSELL,89.95047368421052,88.43447298245613,7.0,6.0
1275,Isack HADJAR,91.50318181818182,90.00461993939392,19.0,19.0
1275,Kimi ANTONELLI,89.59703508771929,87.67451046783623,6.0,4.0
1275,Lance STROLL,91.19352727272728,89.72465127272727,18.0,18.0
1275,Lando NORRIS,89.50835087719298,87.45125842105261,5.0,3.0
1275,Lewis HAMILTON,90.46236842105263,88.97035707602338,13.0,12.0
1275,Liam LAWSON,90.15333333333334,88.65771245614033,9.0,9.0
1275,Max VERSTAPPEN,89.10015789473684,87.23379865497074,1.0,1.0
1275,Nico HULKENBERG,89.4905,89.11490499999996,3.0,13.0
1275,Oliver BEARMAN,93.521,92.54356837398372,20.0,20.0
1275,Oscar PIASTRI,89.3515892857143,87.3101080952381,2.0,2.0
1275,Pierre GASLY,90.77921428571427,89.41365809523809,17.0,17.0
1275,Yuki TSUNODA,90.18366666666667,88.78556321637426,11.0,10.0
1277,Alexander ALBON,113.46655769230769,112.49977070512818,8.0,9.0
1277,Carlos SAINZ,113.70686538461538,112.57253442307692,12.0,10.0
1277,Charles LECLERC,113.85984615384615,112.88439333333334,14.0,14.0
1277,Esteban OCON,113.7185,112.67977628205128,13.0,12.0
1277,Fernando ALONSO,113.5015576923077,112.49564974358977,9.0,8.0
1277,Gabriel BORTOLETO,136.53766666666667,134.81845999999996,18.0,18.0
1277,George RUSSELL,113.59169230769231,112.69128076923077,10.0,13.0
1277,Isack HADJAR,127.28052941176469,126.46563705882352,16.0,16.0
1277,Kimi ANTONELLI,130.41160869565218,129.61936420289857,17.0,17.0
1277,Lance STROLL,113.3985,112.4286525,7.0,7.0
1277,Lando NORRIS,112.23253846153845,111.47187621794872,1.0,1.0
1277,Lewis HAMILTON,113.00111538461539,112.03593621794872,4.0,5.0
1277,Max VERSTAPPEN,113.32365384615385,112.03453025641024,5.0,4.0
1277,Nico HULKENBERG,112.89815384615385,111.71708320512819,3.0,3.0
1277,Oliver BEARMAN,113.62013461538461,112.62677576923076,11.0,11.0
1277,Oscar PIASTRI,112.36436538461538,111.6697137179487,2.0,2.0
1277,Pierre GASLY,113.38532692307693,112.14629442307692,6.0,6.0
1277,Yuki TSUNODA,115.06550980392157,113.81484928104572,15.0,15.0
